"kb1","kb2","en1","en2","en3","en4"
-0.4841269841269842,-0.373015873015873,2.8446008577504402,2.8446008577504402,3.051154268115442,3.051154268115442
-0.4841269841269842,-0.3571428571428572,2.8332306325332564,2.8332306325332564,3.0634806970683663,3.0634806970683663
-0.4841269841269842,-0.3412698412698413,2.8221760232021342,2.8221760232021342,3.0755580163530825,3.0755580163530825
-0.4841269841269842,-0.32539682539682535,2.811465085200183,2.8114650852002248,3.0873450251611008,3.0873450251611008
-0.4841269841269842,-0.30952380952380953,2.80112297820303,2.80112297820303,3.098803083696442,3.098803083696442
-0.4841269841269842,-0.2936507936507937,2.791172589671419,2.7911725896714437,3.1098957351014667,3.1098957351014915
-0.4841269841269842,-0.2777777777777778,2.7816349056459266,2.7816349056459266,3.1205885722454445,3.120588572245464
-0.4841269841269842,-0.26190476190476186,2.7725292462098357,2.7725292462098357,3.1308492250422617,3.1308492250422617
-0.4841269841269842,-0.24603174603174605,2.7638734246680468,2.763873424668068,3.1406474027439346,3.140647402743956
-0.4841269841269842,-0.2301587301587302,2.7556838616860615,2.7556838616860615,3.1499549541753753,3.1499549541753975
-0.4841269841269842,-0.2142857142857143,2.7479756716290513,2.7479756716290513,3.1587459239051103,3.1587459239051103
-0.4841269841269842,-0.1984126984126984,2.740762730948152,2.7407627309481706,3.1669965910391356,3.1669965910391538
-0.4841269841269842,-0.18253968253968256,2.7340577343997543,2.7340577343997543,3.174685482901447,3.174685482901465
-0.4841269841269842,-0.1666666666666667,2.727872242578199,2.727872242578224,3.1817933598264077,3.1817933598264077
-0.4841269841269842,-0.1507936507936508,2.7222167228966114,2.7222167228966114,3.1883031703351943,3.188303170335214
-0.4841269841269842,-0.1349206349206349,2.717100585344512,2.717100585344512,3.194199978420511,3.1941999784205324
-0.4841269841269842,-0.11904761904761907,2.7125322138620334,2.7125322138620542,3.199470866645071,3.199470866645071
-0.4841269841269842,-0.10317460317460322,2.7085189938658596,2.7085189938658827,3.2041048203138933,3.2041048203138933
-0.4841269841269842,-0.08730158730158732,2.7050673362717683,2.7050673362717848,3.2080925991054454,3.208092599105462
-0.4841269841269842,-0.07142857142857142,2.702182698237973,2.702182698237973,3.211426603237472,3.211426603237472
-0.4841269841269842,-0.05555555555555558,2.6998696007762404,2.699869600776278,3.214100741502394,3.214100741502394
-0.4841269841269842,-0.039682539682539736,2.698131643326892,2.698131643326892,3.2161103083457894,3.2161103083458276
-0.4841269841269842,-0.023809523809523836,2.6969715153614455,2.6969715153614455,3.2174518766146765,3.2174518766147084
-0.4841269841269842,-0.007936507936507936,2.6963910050550686,2.696391005055088,3.2181232117110907,3.2181232117110907
-0.4841269841269842,0.007936507936507908,2.69639100505505,2.6963910050550854,3.2181232117110845,3.2181232117111023
-0.4841269841269842,0.023809523809523725,2.696971515361455,2.696971515361455,3.2174518766147138,3.2174518766147138
-0.4841269841269842,0.03968253968253965,2.6981316433269082,2.6981316433269082,3.21611030834577,3.2161103083457934
-0.4841269841269842,0.05555555555555558,2.6998696007762457,2.6998696007762457,3.2141007415023766,3.2141007415024005
-0.4841269841269842,0.0714285714285714,2.702182698237954,2.702182698237979,3.211426603237464,3.211426603237464
-0.4841269841269842,0.08730158730158721,2.7050673362717466,2.7050673362717688,3.208092599105432,3.2080925991054543
-0.4841269841269842,0.10317460317460314,2.7085189938658827,2.708518993865901,3.204104820313903,3.204104820313903
-0.4841269841269842,0.11904761904761907,2.712532213862055,2.712532213862055,3.199470866645091,3.199470866645091
-0.4841269841269842,0.13492063492063489,2.7171005853444914,2.7171005853445083,3.1941999784205004,3.1941999784205164
-0.4841269841269842,0.1507936507936507,2.722216722896606,2.722216722896629,3.188303170335187,3.1883031703352103
-0.4841269841269842,0.16666666666666663,2.727872242578197,2.7278722425782167,3.18179335982642,3.18179335982642
