"time","(a)up","(a)dn","(b)up","(b)dn","(c)Rs","(c)Rc","(d)up","(d)dn","(e)up","(e)dn","(f)Rs","(f)Rc","(g)up","(g)dn","(h)up","(h)dn","(i)Rs","(i)Rc"
0.019508107952226284,1.8967996855422915,1.8967996855422915,1.8967996855422915,-1.8967996855422915,1.3355321062710823,1.3355321062710823,1.672957737766568,1.6729193019806166,1.0331651467960379,1.0058557221074158,1.026195357283343,1.0278995653423664,-0.0011649456786732276,0.0021870666212098484,-0.0017905775710799145,0.00035672941535051225,-0.0013625617471137406,-0.001376558076845283
0.019594046753777943,1.9019685500655414,1.9019685500655414,1.9019685500655414,-1.9019685500655414,1.3391714913766277,1.3391714913766277,1.6804463915220487,1.6804038815796873,1.0376601812765722,1.0108828768425027,1.0308057976474878,1.0324941509490855,-0.0011792216998700162,0.002144610368676175,-0.0017578353473875884,0.0002692135243373738,-0.001365866711816705,-0.001366766107620446
0.0196799855553296,1.9070116471517968,1.9070116471517968,1.9070116471517968,-1.9070116471517968,1.3427223239316273,1.3427223239316273,1.687866138893035,1.6878218575783215,1.0420848922747308,1.0159847834908458,1.0353753561695298,1.0370483492661782,-0.001192944344344028,0.002097867395050567,-0.001756914233764528,0.0001852382523814911,-0.0013678967674474617,-0.001382144630969144
0.019765924356881258,1.9119254340563532,1.9119254340563532,1.9119254340563532,-1.9119254340563532,1.3461821094980368,1.3461821094980368,1.6952130828603522,1.6951725214275783,1.0466238567895958,1.02043624221152,1.0398993509285452,1.041572611390521,-0.001205638530030446,0.0020485329036739257,-0.0017522204513060948,0.00015751074839034072,-0.0013685968879676748,-0.0013838593194059176
0.019851863158432917,1.9167152248962673,1.9167152248962673,1.9167152248962673,-1.9167152248962673,1.3495545897329222,1.3495545897329222,1.7024893490708233,1.7024397536390539,1.051209939809025,1.0243610719319332,1.044380567124156,1.0460339897963666,-0.001219449211710354,0.002001210691289201,-0.0017423902204384539,0.0001721733538892385,-0.0013705877685631681,-0.0013732973346196494
0.019937801959984573,1.9213739341821299,1.9213739341821299,1.9213739341821299,-1.9213739341821299,1.3528347757601957,1.3528347757601957,1.709692457603155,1.70964233075968,1.0556633470392864,1.0286502729451605,1.048816082187115,1.0504562208732324,-0.0012341714416026213,0.0019588111226707928,-0.0017738983290131144,0.0002381443618315487,-0.0013742658775869503,-0.0013860416501436299
0.02002374076153623,1.925905104658646,1.925905104658646,1.925905104658646,-1.925905104658646,1.3560251620179014,1.3560251620179014,1.716819928536055,1.71678308698522,1.0599401484460498,1.033538020676142,1.0532047277838479,1.0548483386201133,-0.0012473961533084749,0.0019133098810639646,-0.001786756720916566,0.00027501441451583146,-0.0013761365913797865,-0.0013891348205447606
0.020109679563087887,1.9303069649534632,1.9303069649534632,1.9303069649534632,-1.9303069649534632,1.359124501287018,1.359124501287018,1.7238763674376378,1.7238312004367486,1.0641939220122365,1.0381712222001356,1.0575520623355767,1.059173321354852,-0.0012606841030072962,0.0018624856655392586,-0.001750174693376725,0.0001655714845606358,-0.0013770305824167216,-0.0013805665153407123
0.020195618364639546,1.9345777436942295,1.9345777436942295,1.9345777436942295,-1.9345777436942295,1.3621315463485222,1.3621315463485222,1.7308589401121408,1.7308020820537282,1.06856637752601,1.0420749725895595,1.0618545240812252,1.063455968290377,-0.001275299696283971,0.0018170942490182563,-0.0017358832612404734,0.00005112529568338213,-0.0013800462659605264,-0.0013911614476527286
0.020281557166191205,1.9387192122532968,1.9387192122532968,1.9387192122532968,-1.9387192122532968,1.3650475444214372,1.3650475444214372,1.737761623893567,1.7377171654416184,1.0729468042153674,1.0457909575096669,1.0661055385654177,1.067710804679975,-0.0012886643464056354,0.0017730349045059876,-0.0017431065634176185,0.00007672527519739242,-0.0013823104757021494,-0.0013922203740447776
